nohup: ignoring input
Epoch 1250 | Loss: 0.031060215085744858
Epoch 1260 | Loss: 0.06303922832012177
Epoch 1270 | Loss: 0.02767297625541687
Epoch 1280 | Loss: 0.025759881362318993
Epoch 1290 | Loss: 0.027782797813415527
Epoch 1300 | Loss: 0.032769449055194855
Epoch 1310 | Loss: 0.021772325038909912
Epoch 1320 | Loss: 0.029037555679678917
Epoch 1330 | Loss: 0.0381014421582222
Epoch 1340 | Loss: 0.021554743871092796
Epoch 1350 | Loss: 0.024157991632819176
Epoch 1360 | Loss: 0.030189406126737595
Epoch 1370 | Loss: 0.03605535626411438
Epoch 1380 | Loss: 0.03720325604081154
Epoch 1390 | Loss: 0.02549023926258087
Epoch 1400 | Loss: 0.028622372075915337
Epoch 1410 | Loss: 0.028930163010954857
Epoch 1420 | Loss: 0.02904704585671425
Epoch 1430 | Loss: 0.030005041509866714
Epoch 1440 | Loss: 0.029142072424292564
Epoch 1450 | Loss: 0.03861374035477638
Epoch 1460 | Loss: 0.02536940388381481
Epoch 1470 | Loss: 0.030961504206061363
Epoch 1480 | Loss: 0.029598969966173172
Epoch 1490 | Loss: 0.03273649886250496
Epoch 1500 | Loss: 0.05136936530470848
Epoch 1510 | Loss: 0.023340029641985893
Epoch 1520 | Loss: 0.026754848659038544
Epoch 1530 | Loss: 0.04065442085266113
Epoch 1540 | Loss: 0.02420586161315441
Epoch 1550 | Loss: 0.09823261201381683
Epoch 1560 | Loss: 0.06181308627128601
Epoch 1570 | Loss: 0.027196427807211876
Epoch 1580 | Loss: 0.026605939492583275
Epoch 1590 | Loss: 0.04509091004729271
Epoch 1600 | Loss: 0.028727388009428978
Epoch 1610 | Loss: 0.026796557009220123
Epoch 1620 | Loss: 0.02468234673142433
Epoch 1630 | Loss: 0.030993010848760605
Epoch 1640 | Loss: 0.03205553814768791
Epoch 1650 | Loss: 0.048553064465522766
Epoch 1660 | Loss: 0.03436344489455223
Epoch 1670 | Loss: 0.043879710137844086
Epoch 1680 | Loss: 0.03347218036651611
Epoch 1690 | Loss: 0.026942353695631027
Epoch 1700 | Loss: 0.027926158159971237
Epoch 1710 | Loss: 0.03754749149084091
Epoch 1720 | Loss: 0.03137705475091934
Epoch 1730 | Loss: 0.030653435736894608
Epoch 1740 | Loss: 0.028276344761252403
Epoch 1750 | Loss: 0.03967627137899399
Epoch 1760 | Loss: 0.025880074128508568
Epoch 1770 | Loss: 0.02236650139093399
Epoch 1780 | Loss: 0.025456596165895462
Epoch 1790 | Loss: 0.023213651031255722
Epoch 1800 | Loss: 0.024314871057868004
Epoch 1810 | Loss: 0.03246081992983818
Epoch 1820 | Loss: 0.02146419696509838
Epoch 1830 | Loss: 0.030303359031677246
